portal_authority_id,council,portal_businesses,category,site_url,list_url,listing_count_on_own_site,confidence,plugin_claim_independently_verified,evidence
61,מועצה דתית קריית מלאכי,136,other_platform_with_list,https://www.md-malachi.co.il/,https://www.md-malachi.co.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%9B%D7%A9%D7%A8%D7%99%D7%9D,,medium,,"Wix site; the page 'רשימת עסקים כשרים' embeds a Wix PDF File Viewer iframe (list is a PDF), no drts-/kashrut_dir_ltg classes and no m-datit link; PDF not opened so count unknown."
41,מועצה דתית מעלה אדומים,134,other_platform_with_list,https://mdmaad.com/,https://mdmaad.com/business/,,low,,"Search results show mdmaad.com/business/ titled 'רשימת עסקים מושגחים תשפ""ה' and mdmaad.com/food_map/ 'מפת עסקים וכשרות'; the server serves an anti-bot JS redirect to scripted fetches so I could not read the HTML or check for drts classes."
24,מועצה דתית קריית אתא,133,site_no_list,https://www.kiryat-ata.org.il/,,,medium,,"Only the municipality religious-services page (names kashrut manager, no business list or link); no separate council site found."
43,מועצה דתית פרדס חנה-כרכור,133,other_platform_with_list,https://www.dat.org.il/,https://www.dat.org.il/html5/?_id=10332&did=1159,,medium,,Page 'בתי עסק מושגחים' on a legacy html5 CMS links to a 3MB PDF (MEKOMOT MOSHGAHIM.pdf); count not read.
178,מועצה דתית רמת הגולן,126,site_no_list,https://m.d.golan.org.il/,,,low,,"Search shows council site m.d.golan.org.il with a kashrut page, but its certificate has expired, curl got 404 and WebFetch failed; no list seen (regional council golan.org.il page also unreachable)."
36,מועצה דתית ראש העין,125,drts_plugin,https://mdrh.org.il/,https://mdrh.org.il/directory-kashrut/,140,high,yes,"Raw HTML of /directory-kashrut/ contains kashrut_dir_ltg and drts- assets, with 140 unique listing links."
173,מועצה דתית גוש עציון,113,other_platform_with_list,https://www.baitisraeli.co.il/,https://baitisraeli.co.il/uploads/n/1713347570.1622.pdf,,medium,,Regional council site hosts a 2024 PDF (exported from Excel) titled as the list of businesses with Gush Etzion council kashrut certificates; PDF text not readable so count unknown (a separate gush-etzion.md.gov.il site exists but failed to load).
72,מועצה דתית בית שאן,104,drts_plugin,https://rbs.org.il/,https://rbs.org.il/directory-kashrut/,100,high,yes,Raw HTML has 6167 'drts-' and 300 'kashrut_dir_ltg' occurrences; 100 listings on page 1 (2 pages total).
48,מועצה דתית נתיבות,102,other_platform_with_list,https://www.mdnetivot.org/,https://www.mdnetivot.org/%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%9E%D7%95%D7%A9%D7%92%D7%97%D7%99%D7%9D-%D7%A0%D7%AA%D7%99%D7%91%D7%95%D7%AA,,high,,"Wix site with ~25 per-category pages of supervised businesses (kosher-14, kosher-31, etc.) and an Excel download of all active businesses (e2dd34_4b9cac47694b4d9193fd010fd2f8ca86.xlsx); also links to shirathayam.m-datit.org.il/rishum; no drts- classes."
51,מועצה דתית גדרה,92,other_platform_with_list,https://www.gederamd.org/,https://www.gederamd.org/kosher-businesses,,low,,"Search results show gederamd.org/kosher-businesses ('עסקים כשרים בגדרה') but the domain now 301-redirects to an unrelated site (limassolcatering.com), so the page could not be verified and the domain appears lapsed/hijacked."
67,מועצה דתית טירת כרמל,88,site_no_list,https://www.tirat-carmel.muni.il/,,,low,,No council site found in search; municipality homepage has no link to a religious council or kashrut business list.
46,מועצה דתית דימונה,87,other_platform_with_list,https://mdimona.org.il/,https://mdimona.org.il/restaurants,,medium,,Custom Next.js app with a 'חיפוש כשרות' search page at /restaurants (same platform as mdkg.org.il); rendered client-side so count not readable.
44,מועצה דתית קריית אונו,83,site_no_list,https://kiryat-ono.md.gov.il/home/,,,low,,"Municipal religious-council page redirects to a gov.il-hosted council site that returned 'site not found'/reset; kashrut page on kiryatono.muni.il gave 404/blocked, so no list confirmed."
54,מועצה דתית מבשרת ציון,82,drts_plugin,https://mdmzion.org.il/,https://mdmzion.org.il/directory-kashrut/,,medium,no (site did not load),"Search results show mdmzion.org.il/directory-kashrut/categories/... (same URL structure as sibling drts sites) but the domain did not resolve when I fetched it, so HTML was not verified."
122,אגף דת חריש,75,other_platform_with_list,https://www.harish.muni.il/cityservices/service/religion/,https://www.harish.muni.il/cityservices/service/religion/kosher_businesses/,60,high,,"Municipality page has an HTML table of kosher businesses (name, mashgiach, address, mehadrin/rabbanut level), roughly 60+ rows, no m-datit link."
53,מועצה דתית מגדל העמק,74,other_platform_with_list,https://www.mdmigdalhaemeq.org/,https://www.mdmigdalhaemeq.org/מחלקת-כשרות,,medium,,"Wix site with per-category kashrut pages (restaurants, bakeries, pizzerias...) plus a downloadable PDF list https://www.mdmigdalhaemeq.org/_files/ugd/18ffaa_9fc2e83de7a940ecb98b9f57910f5e0e.pdf; no drts-."
174,מועצה דתית כפר פינס - מנשה,74,links_to_mdatit,https://md-menashe.org.il/,https://shirathayam.m-datit.org.il/rishum/174,,high,,WordPress site whose Kosher category page (md-menashe.org.il/category/kosher/) says 'רשימת בתי עסק' and the raw HTML links to shirathayam.m-datit.org.il/rishum/174; no drts-/kashrut_dir_ltg in HTML.
169,מחלקת דת מטה אשר,70,site_no_list,https://mta.org.il/,,,medium,,"Regional council page 'מחלקת דת' (mta.org.il/he/מחלקת-דת) describes about 120 supervised businesses and how to apply, but shows no business list; only m-datit link is /rishum/169 (registration)."
69,מועצה דתית אריאל,67,drts_plugin,https://mdariel.org.il/,https://mdariel.org.il/directory-kashrut/,40,high,yes,Fetched page HTML contains kashrut_dir_ltg and drts- classes; 40 unique listing links.
64,מועצה דתית יקנעם עילית,66,site_no_list,https://yokneam.md.gov.il/home/,,,medium,,"yokneam.md.gov.il/home/kashrut/ is descriptive text only, no list or m-datit link; older site mdyokneam.org.il appears in search results but could not be fetched (DNS/connection failure)."
177,מועצה דתית שדות דן - צפריה,65,site_no_list,https://sdot-dan.md.gov.il/home/,,,low,,Council site is a gov.il-hosted JS shell (emek-lod.co.il 301s to it) that returned no readable content; no business list could be seen.
111,מועצה דתית ביתר עילית,64,not_found,,,,low,,Two searches found only the municipality site betar-illit.muni.il and national portals; no council site or list.
32,מועצה דתית רמת השרון,61,site_no_list,https://www.mdramat-hasharon.co.il/,,,low,,Site appears in search results as a Wix site but returned HTTP 404 for every page I fetched (including /contact); could not verify any business list.
29,מועצה דתית עכו,61,other_platform_with_list,https://www.mdakko.org/,https://www.mdakko.org/cosher?lang=en,,high,,"Wix site whose kashrut page offers an Excel (.xlsx) download 'עסקים כשרים' (list dated tishrei 5783 in file title, possibly stale) at mdakko.org/_files/ugd/95dcf5_75a5b9e907da4ef4888bdae063907b9e.xlsx."
186,מועצה דתית הגליל התחתון - כדורי,60,not_found,,,,low,,"One Hebrew search returned only the regional council (glt.org.il) and a directory entry for the office in Kfar Kish; no religious-council website seen, and I did not open glt.org.il."
181,מועצה דתית עמק הירדן,59,other_platform_with_list,https://www.j-v.org.il/,https://www.testcode-kosher.co.il/inspector/cmb.php?cm=465,,medium,,j-v.org.il/כשרות page (about 60 businesses) has a 'קישור לרשימת עסקים כשרים' link to an external testcode-kosher.co.il inspector app; separate mdjv.org.il only links m-datit for marriage registration.
38,מועצה דתית קריית מוצקין,56,other_platform_with_list,https://www.mdmotzkin.org/,https://www.mdmotzkin.org/kosher-1,,medium,,"Wix site with a kosher business section split into category pages (restaurants, cafes, pizzerias, etc.); count not determined."
93,מועצה דתית קצרין,55,links_to_mdatit,https://katzrin.md.gov.il/home/,,,high,,Kashrut page has a button to shirathayam.m-datit.org.il/pirsumsite and the council's Linktree lists the m-datit business directory as its kosher list.
65,מועצה דתית כפר יונה,54,other_platform_with_list,https://www.mdky.org.il/,https://www.mdky.org.il/index.php?p=places&search=3&all=1,53,high,,"Custom PHP site (Afik pirsum) with an HTML table of kosher businesses (name, type, supervision, address, contact), about 53 rows; no drts classes; site otherwise only links m-datit for marriage files."
55,מועצה דתית ערד,52,other_platform_with_list,https://www.arad.muni.il/%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99-%D7%93%D7%AA/,https://www.arad.muni.il/%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99-%D7%93%D7%AA/,,medium,,"Municipality religious-services page links a downloadable Word .doc of businesses under Arad Rabbinate supervision (uploads/n/1610456073.7186.doc, timestamp suggests Jan 2021, possibly stale); arad.md.gov.il also exists."
85,מועצה דתית חצור הגלילית,51,other_platform_with_list,https://mdhatzorg.co.il/,https://mdhatzorg.co.il/%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-2/,,high,,WordPress site whose kashrut page links a PDF 'רשימת עסקים כשרים חצור הגלילית' (wp-content/uploads/2025/08/); an alternate mdhatzorg.org did not resolve.
195,מועצה דתית הר חברון,50,site_no_list,https://www.hrhevron.co.il/,,,medium,,"Kashrut page on the regional council site has only application forms and guidelines, no business list."
37,מועצה דתית נוף הגליל,48,links_to_mdatit,https://mdnh.org.il/,https://shirathayam.m-datit.org.il/pirsumsite/37,,medium,,"WordPress site (has a 'drts-' class only on homepage widgets, not a kashrut directory; /directory-kashrut/ returns 404); its kashrut menu and 'רשימת עסקים הכשרים בעיר' page point to shirathayam.m-datit.org.il/pirsumsite/37."
57,מועצה דתית נשר,47,site_no_list,https://www.nesher.muni.il/המועצה-הדתית-נשר/,,,medium,,Municipality page and its 'השגחת כשרות' subpage only describe the service and contact; no business list or m-datit link.
105,מועצה דתית ראש פינה,45,drts_plugin,https://mdroshpina.org.il/,https://mdroshpina.org.il/directory-kashrut/,38,high,yes,Fetched page HTML contains kashrut_dir_ltg and drts- classes; 38 unique listing links.
87,מועצה דתית אפרת,44,other_platform_with_list,https://www.efrat.muni.il/,https://www.efrat.muni.il/he/רשימת-בתי-עסק/,,medium,,"Municipality site has a 'רשימת בתי עסק' page under Kashrut that embeds a PDF (uploads/n/1738736354.5066.pdf, not opened because fetch was blocked); separate site mdatitefrat.org.il has no kashrut list."
90,מועצה דתית קריית ארבע,39,drts_plugin,https://mdk4.org.il/,https://mdk4.org.il/directory-kashrut/,33,high,yes,"Raw HTML of /directory-kashrut/ contains kashrut_dir_ltg and drts- classes; 33 listings on first page (paginated, total unknown)."
94,מועצה דתית קרני שומרון,39,site_no_list,https://www.karneishomron.co.il/,,,low,,"Local council religious-services page shows services only, no kosher business list or m-datit link; karnei-shomron.md.gov.il returned an error page."
26,מועצה דתית הוד השרון,35,other_platform_with_list,https://mdhh.co.il/,https://mdhh.co.il/%D7%A7%D7%95%D7%A0%D7%93%D7%99%D7%98%D7%95%D7%A8%D7%99%D7%95%D7%AA/,,medium,,"Own site with per-category HTML table pages (13 categories: halls, restaurants, delis, catering, wineries, bakeries...; bakeries page has 13 rows with name, address, dairy/pareve), custom markup with no drts- classes reported (only fetched via summarizer, not raw HTML)."
107,מועצה דתית מטולה,34,not_found,,,,medium,,"Two searches found no site for Metula's religious council (results were other councils, e.g. azor.muni.il)."
82,מועצה דתית קריית עקרון,32,site_no_list,https://www.mdekron.co.il/,,,medium,,"Wix site; its /כשרות page covers only the certification process (one PDF on kashering utensils), no business list and no m-datit link."
84,מועצה דתית כוכב יאיר,29,site_no_list,https://www.kyair.org.il/,,,low,,"Only the local-council site (kyair.org.il) found, its religious-council page 404'd on fetch and search results showed no kosher list."
89,מועצה דתית רמת ישי,29,not_found,,,,low,,"Searched twice; only the local municipality site (ramat-yishay.com, homepage not parseable) and directories turned up, no council site or list."
86,מועצה דתית ירוחם,28,not_found,,,,low,,"Searched; only the Yeruham municipality site and State Comptroller report appeared, no council site found."
77,מועצה דתית גבעת זאב,27,site_no_list,https://mdgz.org/,,,low,,"Search results earlier showed mdgz.org/directory-kashrut/, but now mdgz.org and that path 301 to givat-zeev.md.gov.il (JS shell, no list visible); likely migrated away from the plugin."
52,מועצה דתית אופקים,26,site_no_list,https://www.ofaqim.muni.il/%D7%94%D7%9E%D7%95%D7%A2%D7%A6%D7%94-%D7%94%D7%93%D7%AA%D7%99%D7%AA/,,,medium,,Municipality council page describes the kashrut department and links to ministry resources but shows no business list.
79,מועצה דתית אזור,25,site_no_list,https://azor.muni.il/,https://azor.muni.il/%D7%9B%D7%A9%D7%A8%D7%95%D7%AA/,,high,,Municipality kashrut page explains the process and says a kashrut reform is underway and information will be published soon; no list.
81,מועצה דתית מזכרת בתיה,24,site_no_list,https://mazkeret-batya.md.gov.il/,,,low,,Old domain moazadatit-mb.org.il now redirects to mazkeret-batya.md.gov.il; kashrut page showed only guidelines/forms in search snippets; the md.gov.il site errored/reset when fetched.
197,מועצה דתית חבל יבנה,23,other_platform_with_list,https://www.hevel-yavne.org.il/,https://www.hevel-yavne.org.il/%D7%90%D7%99%D7%A0%D7%93%D7%A7%D7%A1-%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%9B%D7%A9%D7%A8%D7%99%D7%9D/,8,high,,"Regional council's WordPress site hosts an 'אינדקס עסקים כשרים' HTML table (name, department, kashrut type, address, phone, supervisor) with 8 rows; no drts-/kashrut_dir_ltg classes. (mdhy.org.il from search results did not load; mdyv.org.il is the separate Yavne city council.)"
14,מועצה דתית אשקלון,22,other_platform_with_list,https://www.mdas.org.il/,https://www.mdas.org.il/רשימת-עסקים-כשרים/,,low,,"WordPress site has 'רשימת עסקים כשרים' page with category subpages (מזנון, מחסן, מפעל...) that use a table shortcode, which rendered as '[table not found]' on the pages I fetched, so actual listings were not visible; no drts classes."
70,מועצה דתית קריית טבעון,22,other_platform_with_list,https://mdtivon.co.il/,https://mdtivon.co.il/%D7%9B%D7%A9%D7%A8%D7%95%D7%AA/,,low,,"Search results show a council site with a kashrut page said to give data on certified businesses, but the domain did not resolve when I tried to fetch it, so the list type is unverified."
62,מועצה דתית גן יבנה,21,not_found,,,,low,,Search suggested mdgy.co.il as the council site but the domain does not resolve; no other official site fetched.
97,מועצה דתית מצפה רמון,20,other_platform_with_list,https://mdmp.org.il/,https://mdmp.org.il/%D7%98%D7%91%D7%9C%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%A2%D7%A1%D7%A7%D7%99%D7%99%D7%9D/,,medium,,Homepage tile 'כשרות בתי עסק' describes a table of kashrut status for all Mitzpe Ramon businesses (also a PDF restaurant list on mitzpe-ramon.muni.il); site blocks direct fetches (403) so the table itself was not verified.
187,מועצה דתית שפיר,19,other_platform_with_list,https://www.shaffir.org.il/המועצה-הדתית/,https://www.shaffir.org.il/בתי-עסק-וכשרויות/,,medium,,Regional council site has a 'בתי עסק וכשרויות' page with 11 per-settlement sub-pages (WordPress pages); did not open each sub-page.
74,מועצה דתית גני תקווה,19,drts_plugin,https://mdgt.org.il/,https://mdgt.org.il/directory-kashrut/,20,high,yes,Raw HTML of /directory-kashrut/ contains kashrut_dir_ltg and drts- classes with 20 listings shown.
110,מועצה דתית אורנית,19,other_platform_with_list,https://www.mdoranit.org/,https://www.mdoranit.org/%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%9B%D7%A9%D7%A8%D7%99%D7%9D-%D7%91%D7%A2%D7%99%D7%A8,19,high,,"Wix site (no drts- classes) with a 'kosher businesses in the city' page presenting about 18-20 entries in a Wix repeater with name, location, phone."
88,מועצה דתית אלפי מנשה,18,other_platform_with_list,https://www.mdalfemenashe.org/,https://www.mdalfemenashe.org/%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%9B%D7%A9%D7%A8%D7%99%D7%9D-%D7%91%D7%90%D7%9C%D7%A4%D7%99-%D7%9E%D7%A0%D7%A9%D7%94,16,medium,,"Wix site with a page 'עסקים כשרים באלפי מנשה' listing about 16 businesses (name, type, address, phone, kashrut level); no drts- classes."
102,מועצה דתית כפר תבור,18,site_no_list,https://www.tavor-dat.org.il/,,,low,,"Site tavor-dat.org.il appears in search results but failed TLS/409 on every fetch; search snippets mention no published list, so this is unverified."
4,מועצה דתית באר שבע,17,drts_plugin,https://mdb7.org.il/,https://mdb7.org.il/directory-kashrut/,200,high,yes,Fetched page HTML contains kashrut_dir_ltg and drts- classes; 200 unique listing links on the page (may be a per-page cap).
10,מועצה דתית בני ברק,17,not_found,,,,low,,"Two searches found only directory listings and third-party sites (kosharot.co.il), no official council website."
91,מועצה דתית בית דגן,17,drts_plugin,https://mdbdagan.org/,https://mdbdagan.org/directory-kashrut/,13,high,yes,Raw HTML of /directory-kashrut/ contains kashrut_dir_ltg and drts- classes; 13 listings on first page.
104,מועצה דתית עמנואל,17,site_no_list,https://www.emanuel.muni.il/%D7%9E%D7%95%D7%A2%D7%A6%D7%94-%D7%93%D7%AA%D7%99%D7%AA/,,,medium,,Municipality religious-council page lists services and contacts but no kosher business list.
109,מועצה דתית קריית יערים,17,site_no_list,https://kiryatyearim.muni.il/,,,medium,,"Municipal religious council page only lists the kashrut department contact details, no business list."
168,מחלקת דת משגב,16,other_platform_with_list,https://www.misgav.org.il/,https://www.misgav.org.il/duplicated-1569407984/,18,high,,Regional council WordPress page 'רשימת עסקים בעלי תעודת כשרות מטעם המועצה' with about 18 entries by category.
185,מחלקת דת מגידו לשכת רב המועצה,16,site_no_list,https://www.megiddo.org.il/,,,low,,Megiddo regional council's 'שירותי דת' page only lists the rabbi's contact and a letter to business owners; says the rabbi is appointed via the Nof HaGalil council; no business list seen (site partly blocked to my fetcher).
95,מועצה דתית שלומי,15,site_no_list,https://mdshlomi.org.il/,,,low,,mdshlomi.org.il appears in search results but its domain no longer resolves; search snippets show kashrut contact info only and no list.
113,מועצה דתית מיתר,15,site_no_list,https://mdmetar.com/,,,medium,,Fetched site has no kashrut page or business list; only m-datit marriage-registration links.
208,מחלקת דת מודיעין-מכבים-רעות,15,site_no_list,https://www.modiin.muni.il/modiinwebsite/ChannelArticle.aspx?PageID=12_348,,,low,,Municipality religion page links only to m-datit marriage registration (rishum/208) and a PDF; no business list seen.
98,מועצה דתית קדומים,13,site_no_list,https://www.kedumim.org.il/,,,low,,"Only the municipal site kedumim.org.il has a 'מועצה דתית > כשרויות' menu entry; the page itself was unreachable (redirect loop/404), so contents unknown."
100,מועצה דתית אלקנה,13,not_found,,,,low,,"Search found only the local council site elkana.org.il and portals, no separate council site or list (elkana.org.il not deeply checked)."
83,מועצה דתית רכסים,12,not_found,,,,low,,"Search found only the local council site rekhasim.muni.il, which has no religious-council or kashrut page; no dedicated council site found."
47,מועצה דתית צפת,11,other_platform_with_list,https://mdzefat.co.il/,https://mdzefat.co.il/כשרות/,,medium,,"Kashrut page carries a business list grouped by three hechsher levels, about 100+ per summarizer; portal lists only 11, so the site is far richer. No drts-."
92,"מועצה דתית בני עי""ש",11,site_no_list,https://mdba.org.il/,,,low,,"Small custom PHP site (index.php?p=...) with kashrut page and online kashrut-file opening, but no business list or m-datit link found on the homepage; did not test deeper pages."
167,מחלקת דת חוף הכרמל - עין כרמל,10,site_no_list,https://www.hof-hacarmel.co.il/,,,low,,"Regional council site lists religious institutions and kashrut services in search snippets, but the religion pages I tried returned 404 and I saw no business list."
13,מועצה דתית רחובות,9,other_platform_with_list,https://dat-rehovot.co.il/,https://dat-rehovot.co.il/kosher-business/,,high,,"WordPress/Elementor JetEngine filterable listing of kosher businesses (type, level, meat/dairy) with category pages; no drts classes; count not determined."
27,מועצה דתית קריית גת,9,other_platform_with_list,https://mdkg.org.il/,https://mdkg.org.il/restaurants,,medium,,Custom Next.js app with a 'חיפוש כשרות' search page at /restaurants and per-business pages (/restaurants/191); rendered client-side so count not readable; same platform as mdimona.org.il.
106,מועצה דתית מגדל,9,not_found,,,,low,,"Searches for Migdal (Kinneret) religious council only returned Migdal HaEmek's council (mdmigdalhaemeq.org), a different city; no official site for Migdal found."
184,מועצה דתית עמק המעיינות,9,site_no_list,https://emek-maianot-region.muni.il/%D7%9E%D7%95%D7%A2%D7%A6%D7%94-%D7%93%D7%AA%D7%99%D7%AA/,,,medium,,Regional council page for the religious council mentions kashrut supervision and contacts but no business list.
192,מחלקת דת נחל שורק,9,site_no_list,https://www.ma-soreq.org.il/,https://www.ma-soreq.org.il/%D7%A9%D7%A8%D7%95%D7%AA%D7%99-%D7%93%D7%AA/,,medium,,Regional council religious-services page lists rabbis and contacts only; no business list.
28,מועצה דתית אילת,8,other_platform_with_list,https://datiteilat.co.il/,https://datiteilat.co.il/כשרות/עסקים?id=1113,,low,,React single-page app with a kashrut businesses section (/כשרות/עסקים); content renders via JavaScript so I could not read the listings.
33,מועצה דתית עפולה,8,other_platform_with_list,https://mdafula.org.il/,https://mdafula.org.il/restaurant,,high,,"Custom Next.js app with a paginated 'רשימת עסקים כשרים' at /restaurant (20 per page, detail pages /restaurant/<id> with ids up to ~276 and Waze coordinates), filterable by category and kashrut; total count not read."
73,מועצה דתית אור עקיבא,8,site_no_list,https://mdoraqiva.org/,,,medium,,"WordPress site has kashrut pages, application form PDF and says about 93 supervised points, but no public business list; only m-datit link is marriage registration."
30,מועצה דתית נס ציונה,7,site_no_list,https://www.moatzanz.co.il/,,,medium,,Kashrut page has only a placeholder table ('business name will appear here') and a marriage-registration m-datit link; no real list.
170,מחלקת דת גזר - בית חשמונאי,7,site_no_list,https://www.gezer-region.muni.il/74/,,,low,,"Regional council site has a religion dept page but only a kosher catering page, no business list found; no dedicated council site found."
193,מחלקת דת ברנר,6,site_no_list,https://www.brener.org.il/,,,medium,,Regional council site has only a 'רב המועצה' page; no kashrut pages or list seen.
96,מועצה דתית פרדסייה,6,site_no_list,https://mdpardesia.co.il/,,,medium,,Site has a kashrut page (mdpardesia.co.il/כשרות-2/) with certification forms and contacts but no list of certified businesses.
103,מועצה דתית אליכין,6,site_no_list,https://elyakhin.md.gov.il/home/,,,low,,elyakhin.md.gov.il seen in search results only (not fetched; sister md.gov.il sites return error pages); no list found.
162,מחלקת דת מטה יהודה,6,other_platform_with_list,https://www.m-yehuda.org.il/,https://www.m-yehuda.org.il/%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%9B%D7%A9%D7%A8%D7%99%D7%9D-%D7%91%D7%9E%D7%98%D7%94-%D7%99%D7%94%D7%95%D7%93%D7%94/,,medium,,Regional council WordPress-style site has a 'kosher businesses in Mateh Yehuda' page with 16 category tiles leading to per-category pages; council says it handles about 120 businesses (portal lists only 6).
9,מועצה דתית חולון,5,other_platform_with_list,http://www.datholon.co.il/,http://www.datholon.co.il/%D7%9B%D7%A9%D7%A8%D7%95%D7%AA/,,medium,,"WordPress site whose kashrut page says 300+ supervised businesses and embeds a Google My Maps map of kosher places (mid=1x7jxff1cCHWPINN64qvYkCEx0W7-JiDH); text also mentions a full index but I found no link to it. Portal lists only 5, so big gap."
12,מועצה דתית בת ים,5,other_platform_with_list,https://www.mdby.org.il/,https://www.mdby.org.il/kashrut/businesses,223,medium,,"Custom (Vuetify-style) site page /kashrut/businesses has an HTML table with about 224 rows (count from <tr> tags, includes header) plus filters; no drts classes; portal lists only 5 for this council."
15,מועצה דתית בית שמש,5,other_platform_with_list,https://www.rabanutbs.co.il/,https://www.rabanutbs.co.il/53/,,medium,,"Page titled 'list of supervised businesses' reported as an HTML table of roughly 200+ entries (my curl fetch of it returned empty, so relied on WebFetch summary)."
